iter	RMSE
0	0.3942463252
1	0.3661506719
2	0.3413473502
3	0.3194892239
4	0.2999297895
5	0.2831945705
6	0.2681204696
7	0.2544470971
8	0.2424517793
9	0.2318768607
10	0.222710914
11	0.2143986181
12	0.2071525974
13	0.2010034483
14	0.1954220204
15	0.1903809178
16	0.1859663823
17	0.1819874156
18	0.178580473
19	0.1754536905
20	0.1726689792
21	0.1702076116
22	0.1679624654
23	0.165928243
24	0.1641449196
25	0.1625108114
26	0.1609997137
27	0.1596032412
28	0.1584517952
29	0.1573135632
30	0.1562062255
31	0.1552698602
32	0.1543349151
33	0.1535324727
34	0.1528059761
35	0.1520847807
36	0.1514392199
37	0.1508492077
38	0.1503059546
39	0.1497761548
40	0.1492937538
41	0.1487670376
42	0.1483167254
43	0.1479450498
44	0.1472479381
45	0.1468968675
46	0.1463757551
47	0.146078995
48	0.1458126608
49	0.1455313034
50	0.1448981024
51	0.1446202074
52	0.1443501096
53	0.1440840147
54	0.1438588503
55	0.1434073533
56	0.1432268559
57	0.143027579
58	0.1427628168
59	0.1424548429
60	0.1419691797
61	0.1415237531
62	0.1412478299
63	0.1410382164
64	0.1407621839
65	0.140630577
66	0.1404456634
67	0.1400761005
68	0.1398666062
69	0.1396576285
70	0.1391852986
71	0.1389036171
72	0.138618441
73	0.1384866229
74	0.1383345007
75	0.1378233426
76	0.1376741679
77	0.1375347365
78	0.1372636586
79	0.1369423715
80	0.1366516301
81	0.1363132903
82	0.1361868482
83	0.1360260598
84	0.1359261057
85	0.1357490753
86	0.1356627456
87	0.1354061506
88	0.1350901163
89	0.1347677953
90	0.1345765958
91	0.1344874054
92	0.1343992059
93	0.1341188049
94	0.1339161472
95	0.133692848
96	0.1333754952
97	0.1331232402
98	0.1329204029
99	0.1327280439
