iter	Passed	Remaining
0	43	4289
1	61	3002
2	73	2378
3	86	2074
4	98	1871
5	112	1764
6	123	1636
7	134	1544
8	146	1477
9	157	1416
10	169	1370
11	180	1325
12	193	1292
13	205	1260
14	218	1238
15	228	1198
16	239	1170
17	250	1142
18	262	1117
19	273	1093
20	283	1067
21	296	1052
22	309	1035
23	321	1019
24	331	994
25	344	979
26	356	963
27	368	946
28	378	927
29	393	917
30	406	904
31	419	891
32	431	876
33	443	860
34	455	845
35	466	829
36	478	814
37	489	798
38	500	783
39	511	767
40	520	749
41	531	734
42	543	720
43	554	705
44	567	693
45	578	679
46	590	665
47	600	650
48	609	634
49	620	620
50	630	606
51	641	591
52	651	577
53	663	565
54	673	550
55	686	539
56	695	524
57	706	511
58	717	498
59	728	485
60	740	473
61	751	460
62	761	447
63	774	435
64	785	422
65	795	409
66	805	396
67	817	384
68	828	372
69	837	358
70	849	347
71	860	334
72	872	322
73	883	310
74	893	297
75	904	285
76	914	273
77	924	260
78	935	248
79	946	236
80	955	224
81	967	212
82	979	200
83	989	188
84	1001	176
85	1011	164
86	1022	152
87	1033	140
88	1044	129
89	1055	117
90	1066	105
91	1078	93
92	1089	82
93	1100	70
94	1111	58
95	1121	46
96	1134	35
97	1145	23
98	1155	11
99	1165	0
