Feature,Importance
Customers,0.4718225
StoreType_d,0.15443563
Promo,0.08878619
Assortment_b,0.07920837
StoreType_b,0.052535232
CompetitionDistance,0.019017622
Promo2SinceWeek,0.016175104
Assortment_c,0.015938316
Promo2SinceYear,0.015782492
Promo2,0.014485016
DayOfWeek,0.012780292
StoreType_c,0.012528654
PromoInterval_Jan_Apr_Jul_Oct,0.010250986
CompetitionOpenSinceYear,0.010128193
PromoInterval_Mar_Jun_Sept_Dec,0.008518313
CompetitionOpenSinceMonth,0.008395621
SchoolHoliday,0.003844608
StateHoliday_0,0.0023871134
StateHoliday_a,0.0014330995
StateHoliday_c,0.0009386409
StateHoliday_b,0.0006079701
Open,0.0
