Store,Date,Predicted_Sales
1097,2015-08-01,1105.7124
1097,2015-08-02,1052.5728
1097,2015-08-03,1115.628
1097,2015-08-04,1144.3468
1097,2015-08-05,1147.497
1097,2015-08-06,1135.9882
1097,2015-08-07,1154.0511
1097,2015-08-08,1105.7124
1097,2015-08-09,1052.5728
1097,2015-08-10,1115.628
1097,2015-08-11,1144.3468
1097,2015-08-12,1147.497
1097,2015-08-13,1135.9882
1097,2015-08-14,1154.0511
1097,2015-08-15,1105.7124
1097,2015-08-16,1052.5728
1097,2015-08-17,1115.628
1097,2015-08-18,1144.3468
1097,2015-08-19,1147.497
1097,2015-08-20,1135.9882
1097,2015-08-21,1154.0511
1097,2015-08-22,1105.7124
1097,2015-08-23,1052.5728
1097,2015-08-24,1115.628
1097,2015-08-25,1144.3468
1097,2015-08-26,1147.497
1097,2015-08-27,1135.9882
1097,2015-08-28,1154.0511
1097,2015-08-29,1105.7124
1097,2015-08-30,1052.5728
1097,2015-08-31,1115.628
1097,2015-09-01,1144.3468
1097,2015-09-02,1147.497
1097,2015-09-03,1135.9882
1097,2015-09-04,1154.0511
1097,2015-09-05,1105.7124
1097,2015-09-06,1052.5728
1097,2015-09-07,1115.628
1097,2015-09-08,1144.3468
1097,2015-09-09,1147.497
1097,2015-09-10,1135.9882
1097,2015-09-11,1154.0511
85,2015-08-01,1437.0719
85,2015-08-02,1356.5211
85,2015-08-03,1473.4799
85,2015-08-04,1504.8035
85,2015-08-05,1508.9451
85,2015-08-06,1493.8142
85,2015-08-07,1514.7593
85,2015-08-08,1437.0719
85,2015-08-09,1356.5211
85,2015-08-10,1473.4799
85,2015-08-11,1504.8035
85,2015-08-12,1508.9451
85,2015-08-13,1493.8142
85,2015-08-14,1514.7593
85,2015-08-15,1437.0719
85,2015-08-16,1356.5211
85,2015-08-17,1473.4799
85,2015-08-18,1504.8035
85,2015-08-19,1508.9451
85,2015-08-20,1493.8142
85,2015-08-21,1514.7593
85,2015-08-22,1437.0719
85,2015-08-23,1356.5211
85,2015-08-24,1473.4799
85,2015-08-25,1504.8035
85,2015-08-26,1508.9451
85,2015-08-27,1493.8142
85,2015-08-28,1514.7593
85,2015-08-29,1437.0719
85,2015-08-30,1356.5211
85,2015-08-31,1473.4799
85,2015-09-01,1504.8035
85,2015-09-02,1508.9451
85,2015-09-03,1493.8142
85,2015-09-04,1514.7593
85,2015-09-05,1437.0719
85,2015-09-06,1356.5211
85,2015-09-07,1473.4799
85,2015-09-08,1504.8035
85,2015-09-09,1508.9451
85,2015-09-10,1493.8142
85,2015-09-11,1514.7593
259,2015-08-01,951.69147
259,2015-08-02,909.09503
259,2015-08-03,924.12897
259,2015-08-04,953.0116
259,2015-08-05,955.63544
259,2015-08-06,946.04926
259,2015-08-07,964.94183
259,2015-08-08,951.69147
259,2015-08-09,909.09503
259,2015-08-10,924.12897
259,2015-08-11,953.0116
259,2015-08-12,955.63544
259,2015-08-13,946.04926
259,2015-08-14,964.94183
259,2015-08-15,951.69147
259,2015-08-16,909.09503
259,2015-08-17,924.12897
259,2015-08-18,953.0116
259,2015-08-19,955.63544
259,2015-08-20,946.04926
259,2015-08-21,964.94183
259,2015-08-22,951.69147
259,2015-08-23,909.09503
259,2015-08-24,924.12897
259,2015-08-25,953.0116
259,2015-08-26,955.63544
259,2015-08-27,946.04926
259,2015-08-28,964.94183
259,2015-08-29,951.69147
259,2015-08-30,909.09503
259,2015-08-31,924.12897
259,2015-09-01,953.0116
259,2015-09-02,955.63544
259,2015-09-03,946.04926
259,2015-09-04,964.94183
259,2015-09-05,951.69147
259,2015-09-06,909.09503
259,2015-09-07,924.12897
259,2015-09-08,953.0116
259,2015-09-09,955.63544
259,2015-09-10,946.04926
259,2015-09-11,964.94183
262,2015-08-01,1581.365
262,2015-08-02,1500.634
262,2015-08-03,1588.419
262,2015-08-04,1638.0408
262,2015-08-05,1642.5487
262,2015-08-06,1615.6102
262,2015-08-07,1658.369
262,2015-08-08,1581.365
262,2015-08-09,1500.634
262,2015-08-10,1588.419
262,2015-08-11,1638.0408
262,2015-08-12,1642.5487
262,2015-08-13,1615.6102
262,2015-08-14,1658.369
262,2015-08-15,1581.365
262,2015-08-16,1500.634
262,2015-08-17,1588.419
262,2015-08-18,1638.0408
262,2015-08-19,1642.5487
262,2015-08-20,1615.6102
262,2015-08-21,1658.369
262,2015-08-22,1581.365
262,2015-08-23,1500.634
262,2015-08-24,1588.419
262,2015-08-25,1638.0408
262,2015-08-26,1642.5487
262,2015-08-27,1615.6102
262,2015-08-28,1658.369
262,2015-08-29,1581.365
262,2015-08-30,1500.634
262,2015-08-31,1588.419
262,2015-09-01,1638.0408
262,2015-09-02,1642.5487
262,2015-09-03,1615.6102
262,2015-09-04,1658.369
262,2015-09-05,1581.365
262,2015-09-06,1500.634
262,2015-09-07,1588.419
262,2015-09-08,1638.0408
262,2015-09-09,1642.5487
262,2015-09-10,1615.6102
262,2015-09-11,1658.369
274,2015-08-01,1034.2789
274,2015-08-02,964.9036
274,2015-08-03,1037.8097
274,2015-08-04,1055.1184
274,2015-08-05,1061.601
274,2015-08-06,1059.8568
274,2015-08-07,1081.3293
274,2015-08-08,1034.2789
274,2015-08-09,964.9036
274,2015-08-10,1037.8097
274,2015-08-11,1055.1184
274,2015-08-12,1061.601
274,2015-08-13,1059.8568
274,2015-08-14,1081.3293
274,2015-08-15,1034.2789
274,2015-08-16,964.9036
274,2015-08-17,1037.8097
274,2015-08-18,1055.1184
274,2015-08-19,1061.601
274,2015-08-20,1059.8568
274,2015-08-21,1081.3293
274,2015-08-22,1034.2789
274,2015-08-23,964.9036
274,2015-08-24,1037.8097
274,2015-08-25,1055.1184
274,2015-08-26,1061.601
274,2015-08-27,1059.8568
274,2015-08-28,1081.3293
274,2015-08-29,1034.2789
274,2015-08-30,964.9036
274,2015-08-31,1037.8097
274,2015-09-01,1055.1184
274,2015-09-02,1061.601
274,2015-09-03,1059.8568
274,2015-09-04,1081.3293
274,2015-09-05,1034.2789
274,2015-09-06,964.9036
274,2015-09-07,1037.8097
274,2015-09-08,1055.1184
274,2015-09-09,1061.601
274,2015-09-10,1059.8568
274,2015-09-11,1081.3293
335,2015-08-01,1131.7953
335,2015-08-02,1049.2393
335,2015-08-03,1120.7518
335,2015-08-04,1143.0308
335,2015-08-05,1150.0529
335,2015-08-06,1148.1636
335,2015-08-07,1166.9991
335,2015-08-08,1131.7953
335,2015-08-09,1049.2393
335,2015-08-10,1120.7518
335,2015-08-11,1143.0308
335,2015-08-12,1150.0529
335,2015-08-13,1148.1636
335,2015-08-14,1166.9991
335,2015-08-15,1131.7953
335,2015-08-16,1049.2393
335,2015-08-17,1120.7518
335,2015-08-18,1143.0308
335,2015-08-19,1150.0529
335,2015-08-20,1148.1636
335,2015-08-21,1166.9991
335,2015-08-22,1131.7953
335,2015-08-23,1049.2393
335,2015-08-24,1120.7518
335,2015-08-25,1143.0308
335,2015-08-26,1150.0529
335,2015-08-27,1148.1636
335,2015-08-28,1166.9991
335,2015-08-29,1131.7953
335,2015-08-30,1049.2393
335,2015-08-31,1120.7518
335,2015-09-01,1143.0308
335,2015-09-02,1150.0529
335,2015-09-03,1148.1636
335,2015-09-04,1166.9991
335,2015-09-05,1131.7953
335,2015-09-06,1049.2393
335,2015-09-07,1120.7518
335,2015-09-08,1143.0308
335,2015-09-09,1150.0529
335,2015-09-10,1148.1636
335,2015-09-11,1166.9991
353,2015-08-01,973.3333
353,2015-08-02,897.9921
353,2015-08-03,963.85864
353,2015-08-04,983.02155
353,2015-08-05,989.0615
353,2015-08-06,987.43646
353,2015-08-07,998.09546
353,2015-08-08,973.3333
353,2015-08-09,897.9921
353,2015-08-10,963.85864
353,2015-08-11,983.02155
353,2015-08-12,989.0615
353,2015-08-13,987.43646
353,2015-08-14,998.09546
353,2015-08-15,973.3333
353,2015-08-16,897.9921
353,2015-08-17,963.85864
353,2015-08-18,983.02155
353,2015-08-19,989.0615
353,2015-08-20,987.43646
353,2015-08-21,998.09546
353,2015-08-22,973.3333
353,2015-08-23,897.9921
353,2015-08-24,963.85864
353,2015-08-25,983.02155
353,2015-08-26,989.0615
353,2015-08-27,987.43646
